Calculation1,School,City,County,Count,All,African American,American Indian,Hispanic/ Latino,Asian,White,Domestic unknown,Inter- national
ALLAN HANCOCK COLLEGE4002,ALLAN HANCOCK COLLEGE,Santa Maria,Santa Barbara,App,145,6,4,67,15,45,7,1
ALLAN HANCOCK COLLEGE4002,ALLAN HANCOCK COLLEGE,Santa Maria,Santa Barbara,Adm,97,4,,49,7,30,4,
ALLAN HANCOCK COLLEGE4002,ALLAN HANCOCK COLLEGE,Santa Maria,Santa Barbara,Enr,67,3,,32,5,21,,
AMERICAN RIVER COLLEGE4004,AMERICAN RIVER COLLEGE,Sacramento,Sacramento,App,384,21,9,61,85,191,,4
AMERICAN RIVER COLLEGE4004,AMERICAN RIVER COLLEGE,Sacramento,Sacramento,Adm,296,12,8,47,69,144,,4
AMERICAN RIVER COLLEGE4004,AMERICAN RIVER COLLEGE,Sacramento,Sacramento,Enr,244,11,6,41,55,115,12,4
ANTELOPE VALLEY COLLEGE4005,ANTELOPE VALLEY COLLEGE,Lancaster,Los Angeles,App,145,15,1,68,21,33,,
ANTELOPE VALLEY COLLEGE4005,ANTELOPE VALLEY COLLEGE,Lancaster,Los Angeles,Adm,104,7,,48,16,26,,
ANTELOPE VALLEY COLLEGE4005,ANTELOPE VALLEY COLLEGE,Lancaster,Los Angeles,Enr,81,5,,38,13,18,,
BAKERSFIELD COLLEGE4015,BAKERSFIELD COLLEGE,Bakersfield,Kern,App,131,7,1,50,20,44,7,2
BAKERSFIELD COLLEGE4015,BAKERSFIELD COLLEGE,Bakersfield,Kern,Adm,84,4,,26,17,29,,
BAKERSFIELD COLLEGE4015,BAKERSFIELD COLLEGE,Bakersfield,Kern,Enr,59,3,,14,14,21,,
BARSTOW COLLEGE4020,BARSTOW COLLEGE,Barstow,San Bernardino,App,22,2,,11,1,8,,
BARSTOW COLLEGE4020,BARSTOW COLLEGE,Barstow,San Bernardino,Adm,12,,,4,,6,,
BARSTOW COLLEGE4020,BARSTOW COLLEGE,Barstow,San Bernardino,Enr,9,,,4,,4,,
BERKELEY CITY COLLEGE7711,BERKELEY CITY COLLEGE,Berkeley,Alameda,App,311,36,4,46,53,107,,38
BERKELEY CITY COLLEGE7711,BERKELEY CITY COLLEGE,Berkeley,Alameda,Adm,216,22,3,29,41,73,,29
BERKELEY CITY COLLEGE7711,BERKELEY CITY COLLEGE,Berkeley,Alameda,Enr,167,16,,22,33,56,,22
BUTTE COLLEGE4226,BUTTE COLLEGE,Oroville,Butte,App,79,2,2,8,11,43,8,5
BUTTE COLLEGE4226,BUTTE COLLEGE,Oroville,Butte,Adm,58,,,6,7,33,,3
BUTTE COLLEGE4226,BUTTE COLLEGE,Oroville,Butte,Enr,49,,,5,4,29,,3
CABRILLO COLLEGE4084,CABRILLO COLLEGE,Aptos,Santa Cruz,App,380,11,12,72,24,206,,11
CABRILLO COLLEGE4084,CABRILLO COLLEGE,Aptos,Santa Cruz,Adm,288,6,8,58,17,153,,8
CABRILLO COLLEGE4084,CABRILLO COLLEGE,Aptos,Santa Cruz,Enr,219,3,7,40,8,119,34,8
CANADA COLLEGE4109,CANADA COLLEGE,Redwood City,San Mateo,App,109,4,2,35,17,39,9,3
CANADA COLLEGE4109,CANADA COLLEGE,Redwood City,San Mateo,Adm,84,,,28,13,28,,
CANADA COLLEGE4109,CANADA COLLEGE,Redwood City,San Mateo,Enr,60,,,21,8,19,,
CERRITOS COLLEGE4083,CERRITOS COLLEGE,Norwalk,Los Angeles,App,285,20,1,166,62,13,,15
CERRITOS COLLEGE4083,CERRITOS COLLEGE,Norwalk,Los Angeles,Adm,192,10,,117,37,9,,12
CERRITOS COLLEGE4083,CERRITOS COLLEGE,Norwalk,Los Angeles,Enr,146,10,,84,31,7,,8
CERRO COSO COMMUNITY COLLEGE4027,CERRO COSO COMMUNITY COLLEGE,Ridgecrest,Kern,App,33,1,,8,3,16,,2
CERRO COSO COMMUNITY COLLEGE4027,CERRO COSO COMMUNITY COLLEGE,Ridgecrest,Kern,Adm,19,,,6,,8,,
CERRO COSO COMMUNITY COLLEGE4027,CERRO COSO COMMUNITY COLLEGE,Ridgecrest,Kern,Enr,12,,,6,,5,,
CHABOT COLLEGE4725,CHABOT COLLEGE,Hayward,Alameda,App,243,16,,50,112,46,,10
CHABOT COLLEGE4725,CHABOT COLLEGE,Hayward,Alameda,Adm,180,9,,35,87,33,7,9
CHABOT COLLEGE4725,CHABOT COLLEGE,Hayward,Alameda,Enr,147,7,,32,70,24,5,9
CHAFFEY COLLEGE4046,CHAFFEY COLLEGE,Rancho Cucamonga,San Bernardino,App,256,19,1,133,39,48,,9
CHAFFEY COLLEGE4046,CHAFFEY COLLEGE,Rancho Cucamonga,San Bernardino,Adm,150,8,,74,25,31,,7
CHAFFEY COLLEGE4046,CHAFFEY COLLEGE,Rancho Cucamonga,San Bernardino,Enr,121,8,,58,20,25,,5
CITRUS COLLEGE4051,CITRUS COLLEGE,Glendora,Los Angeles,App,250,17,1,83,66,43,,35
CITRUS COLLEGE4051,CITRUS COLLEGE,Glendora,Los Angeles,Adm,176,13,,59,51,23,,25
CITRUS COLLEGE4051,CITRUS COLLEGE,Glendora,Los Angeles,Enr,134,8,,42,41,18,5,20
CITY COLLEGE SAN FRANCISCO4052,CITY COLLEGE SAN FRANCISCO,San Francisco,San Francisco,App,691,27,3,89,321,155,,65
CITY COLLEGE SAN FRANCISCO4052,CITY COLLEGE SAN FRANCISCO,San Francisco,San Francisco,Adm,491,14,3,54,247,102,22,49
CITY COLLEGE SAN FRANCISCO4052,CITY COLLEGE SAN FRANCISCO,San Francisco,San Francisco,Enr,407,8,,43,210,79,,43
COASTLINE COMMUNITY COLLEGE933,COASTLINE COMMUNITY COLLEGE,Fountain Valley,Orange,App,52,3,,5,27,15,2,
COASTLINE COMMUNITY COLLEGE933,COASTLINE COMMUNITY COLLEGE,Fountain Valley,Orange,Adm,26,,,3,15,5,,
COASTLINE COMMUNITY COLLEGE933,COASTLINE COMMUNITY COLLEGE,Fountain Valley,Orange,Enr,19,,,,12,4,,
COLLEGE OF ALAMEDA4118,COLLEGE OF ALAMEDA,Alameda,Alameda,App,99,15,,15,46,15,,2
COLLEGE OF ALAMEDA4118,COLLEGE OF ALAMEDA,Alameda,Alameda,Adm,75,9,,11,40,8,,
COLLEGE OF ALAMEDA4118,COLLEGE OF ALAMEDA,Alameda,Alameda,Enr,61,8,,9,33,7,,
COLLEGE OF MARIN4061,COLLEGE OF MARIN,Kentfield,Marin,App,150,9,1,31,20,81,,4
COLLEGE OF MARIN4061,COLLEGE OF MARIN,Kentfield,Marin,Adm,105,4,,22,15,57,,4
COLLEGE OF MARIN4061,COLLEGE OF MARIN,Kentfield,Marin,Enr,83,3,,16,12,48,,
COLLEGE OF SAN MATEO4070,COLLEGE OF SAN MATEO,San Mateo,San Mateo,App,270,9,,37,113,78,,23
COLLEGE OF SAN MATEO4070,COLLEGE OF SAN MATEO,San Mateo,San Mateo,Adm,199,5,,31,83,57,,18
COLLEGE OF SAN MATEO4070,COLLEGE OF SAN MATEO,San Mateo,San Mateo,Enr,166,,,23,71,49,,16
COLLEGE OF THE CANYONS4117,COLLEGE OF THE CANYONS,Santa Clarita,Los Angeles,App,372,18,9,108,81,141,9,6
COLLEGE OF THE CANYONS4117,COLLEGE OF THE CANYONS,Santa Clarita,Los Angeles,Adm,244,10,6,66,56,96,7,3
COLLEGE OF THE CANYONS4117,COLLEGE OF THE CANYONS,Santa Clarita,Los Angeles,Enr,180,6,6,46,41,73,,
COLLEGE OF THE DESERT4085,COLLEGE OF THE DESERT,Palm Desert,Riverside,App,129,3,4,67,8,32,,7
COLLEGE OF THE DESERT4085,COLLEGE OF THE DESERT,Palm Desert,Riverside,Adm,91,,,46,5,26,,4
COLLEGE OF THE DESERT4085,COLLEGE OF THE DESERT,Palm Desert,Riverside,Enr,67,,,37,3,17,5,
