Calculation1,School,City,County,Count,All,African American,American Indian,Hispanic/ Latino,Asian,White,Domestic unknown,Inter- national
ALLAN HANCOCK COLLEGE4002,ALLAN HANCOCK COLLEGE,Santa Maria,Santa Barbara,App,63,5,,35,5,14,,2
ALLAN HANCOCK COLLEGE4002,ALLAN HANCOCK COLLEGE,Santa Maria,Santa Barbara,Adm,35,,,19,,12,,
ALLAN HANCOCK COLLEGE4002,ALLAN HANCOCK COLLEGE,Santa Maria,Santa Barbara,Enr,3,,,,,,,
AMERICAN RIVER COLLEGE4004,AMERICAN RIVER COLLEGE,Sacramento,Sacramento,App,132,11,1,20,34,53,,4
AMERICAN RIVER COLLEGE4004,AMERICAN RIVER COLLEGE,Sacramento,Sacramento,Adm,67,5,,7,17,30,,4
AMERICAN RIVER COLLEGE4004,AMERICAN RIVER COLLEGE,Sacramento,Sacramento,Enr,17,,,,4,6,,3
ANTELOPE VALLEY COLLEGE4005,ANTELOPE VALLEY COLLEGE,Lancaster,Los Angeles,App,64,10,,34,8,8,,
ANTELOPE VALLEY COLLEGE4005,ANTELOPE VALLEY COLLEGE,Lancaster,Los Angeles,Adm,36,6,,18,6,5,,
ANTELOPE VALLEY COLLEGE4005,ANTELOPE VALLEY COLLEGE,Lancaster,Los Angeles,Enr,7,,,4,,,,
BAKERSFIELD COLLEGE4015,BAKERSFIELD COLLEGE,Bakersfield,Kern,App,58,3,,36,10,8,1,
BAKERSFIELD COLLEGE4015,BAKERSFIELD COLLEGE,Bakersfield,Kern,Adm,31,3,,18,5,5,,
BAKERSFIELD COLLEGE4015,BAKERSFIELD COLLEGE,Bakersfield,Kern,Enr,8,,,6,,,,
BARSTOW COLLEGE4020,BARSTOW COLLEGE,Barstow,San Bernardino,App,17,6,,5,2,2,,2
BARSTOW COLLEGE4020,BARSTOW COLLEGE,Barstow,San Bernardino,Adm,6,,,,,,,
BARSTOW COLLEGE4020,BARSTOW COLLEGE,Barstow,San Bernardino,Enr,,,,,,,,
BERKELEY CITY COLLEGE7711,BERKELEY CITY COLLEGE,Berkeley,Alameda,App,240,14,1,31,53,44,,92
BERKELEY CITY COLLEGE7711,BERKELEY CITY COLLEGE,Berkeley,Alameda,Adm,152,6,,17,35,30,,60
BERKELEY CITY COLLEGE7711,BERKELEY CITY COLLEGE,Berkeley,Alameda,Enr,40,,,6,7,6,,20
BUTTE COLLEGE4226,BUTTE COLLEGE,Oroville,Butte,App,26,,,7,4,9,3,3
BUTTE COLLEGE4226,BUTTE COLLEGE,Oroville,Butte,Adm,21,,,5,4,9,,3
BUTTE COLLEGE4226,BUTTE COLLEGE,Oroville,Butte,Enr,11,,,4,,5,,
CABRILLO COLLEGE4084,CABRILLO COLLEGE,Aptos,Santa Cruz,App,101,2,,34,7,47,7,4
CABRILLO COLLEGE4084,CABRILLO COLLEGE,Aptos,Santa Cruz,Adm,54,,,18,3,26,4,3
CABRILLO COLLEGE4084,CABRILLO COLLEGE,Aptos,Santa Cruz,Enr,13,,,3,,6,,
CANADA COLLEGE4109,CANADA COLLEGE,Redwood City,San Mateo,App,58,3,1,14,10,17,,9
CANADA COLLEGE4109,CANADA COLLEGE,Redwood City,San Mateo,Adm,37,,,10,6,11,,7
CANADA COLLEGE4109,CANADA COLLEGE,Redwood City,San Mateo,Enr,7,,,3,,,,
CERRITOS COLLEGE4083,CERRITOS COLLEGE,Norwalk,Los Angeles,App,122,10,2,51,43,7,3,6
CERRITOS COLLEGE4083,CERRITOS COLLEGE,Norwalk,Los Angeles,Adm,60,5,,19,30,3,,
CERRITOS COLLEGE4083,CERRITOS COLLEGE,Norwalk,Los Angeles,Enr,12,,,4,8,,,
CERRO COSO COMMUNITY COLLEGE4027,CERRO COSO COMMUNITY COLLEGE,Ridgecrest,Kern,App,15,1,1,,4,8,,
CERRO COSO COMMUNITY COLLEGE4027,CERRO COSO COMMUNITY COLLEGE,Ridgecrest,Kern,Adm,8,,,,,5,,
CERRO COSO COMMUNITY COLLEGE4027,CERRO COSO COMMUNITY COLLEGE,Ridgecrest,Kern,Enr,4,,,,,,,
CHABOT COLLEGE4725,CHABOT COLLEGE,Hayward,Alameda,App,128,9,,27,66,16,,4
CHABOT COLLEGE4725,CHABOT COLLEGE,Hayward,Alameda,Adm,75,,,11,45,10,,3
CHABOT COLLEGE4725,CHABOT COLLEGE,Hayward,Alameda,Enr,14,,,,11,,,
CHAFFEY COLLEGE4046,CHAFFEY COLLEGE,Rancho Cucamonga,San Bernardino,App,147,11,1,62,34,22,,10
CHAFFEY COLLEGE4046,CHAFFEY COLLEGE,Rancho Cucamonga,San Bernardino,Adm,69,6,,21,20,13,,6
CHAFFEY COLLEGE4046,CHAFFEY COLLEGE,Rancho Cucamonga,San Bernardino,Enr,15,,,,6,3,,
CITRUS COLLEGE4051,CITRUS COLLEGE,Glendora,Los Angeles,App,194,8,1,50,42,19,,67
CITRUS COLLEGE4051,CITRUS COLLEGE,Glendora,Los Angeles,Adm,109,3,,27,26,12,,36
CITRUS COLLEGE4051,CITRUS COLLEGE,Glendora,Los Angeles,Enr,35,,,6,7,,,19
CITY COLLEGE SAN FRANCISCO4052,CITY COLLEGE SAN FRANCISCO,San Francisco,San Francisco,App,257,8,,31,152,39,,19
CITY COLLEGE SAN FRANCISCO4052,CITY COLLEGE SAN FRANCISCO,San Francisco,San Francisco,Adm,140,,,16,87,21,,9
CITY COLLEGE SAN FRANCISCO4052,CITY COLLEGE SAN FRANCISCO,San Francisco,San Francisco,Enr,33,,,3,26,,,
CLOVIS COMMUNITY COLLEGE7973,CLOVIS COMMUNITY COLLEGE,Fresno,Fresno,App,45,4,,12,16,13,,
CLOVIS COMMUNITY COLLEGE7973,CLOVIS COMMUNITY COLLEGE,Fresno,Fresno,Adm,26,3,,4,9,10,,
CLOVIS COMMUNITY COLLEGE7973,CLOVIS COMMUNITY COLLEGE,Fresno,Fresno,Enr,8,,,,3,4,,
COASTLINE COMMUNITY COLLEGE933,COASTLINE COMMUNITY COLLEGE,Fountain Valley,Orange,App,40,1,,6,17,12,2,2
COASTLINE COMMUNITY COLLEGE933,COASTLINE COMMUNITY COLLEGE,Fountain Valley,Orange,Adm,18,,,,8,6,,
COASTLINE COMMUNITY COLLEGE933,COASTLINE COMMUNITY COLLEGE,Fountain Valley,Orange,Enr,4,,,,,,,
COLLEGE OF ALAMEDA4118,COLLEGE OF ALAMEDA,Alameda,Alameda,App,51,5,,3,28,7,,6
COLLEGE OF ALAMEDA4118,COLLEGE OF ALAMEDA,Alameda,Alameda,Adm,31,4,,,17,3,,5
COLLEGE OF ALAMEDA4118,COLLEGE OF ALAMEDA,Alameda,Alameda,Enr,8,,,,5,,,
COLLEGE OF MARIN4061,COLLEGE OF MARIN,Kentfield,Marin,App,74,5,,18,4,38,,2
COLLEGE OF MARIN4061,COLLEGE OF MARIN,Kentfield,Marin,Adm,37,3,,10,3,17,,
COLLEGE OF MARIN4061,COLLEGE OF MARIN,Kentfield,Marin,Enr,6,,,,,,,
COLLEGE OF SAN MATEO4070,COLLEGE OF SAN MATEO,San Mateo,San Mateo,App,230,8,,22,71,33,5,91
COLLEGE OF SAN MATEO4070,COLLEGE OF SAN MATEO,San Mateo,San Mateo,Adm,124,3,,10,50,15,3,43
COLLEGE OF SAN MATEO4070,COLLEGE OF SAN MATEO,San Mateo,San Mateo,Enr,51,,,,18,5,,25
COLLEGE OF THE CANYONS4117,COLLEGE OF THE CANYONS,Santa Clarita,Los Angeles,App,250,11,4,73,52,77,,25
COLLEGE OF THE CANYONS4117,COLLEGE OF THE CANYONS,Santa Clarita,Los Angeles,Adm,130,5,4,34,27,38,6,16
COLLEGE OF THE CANYONS4117,COLLEGE OF THE CANYONS,Santa Clarita,Los Angeles,Enr,38,,,9,11,10,,6
COLLEGE OF THE DESERT4085,COLLEGE OF THE DESERT,Palm Desert,Riverside,App,133,7,,85,8,27,,1
COLLEGE OF THE DESERT4085,COLLEGE OF THE DESERT,Palm Desert,Riverside,Adm,65,,,41,4,15,,
COLLEGE OF THE DESERT4085,COLLEGE OF THE DESERT,Palm Desert,Riverside,Enr,15,,,10,,3,,
COLLEGE OF THE SEQUOIAS4071,COLLEGE OF THE SEQUOIAS,Visalia,Tulare,App,33,,,17,4,11,,1
COLLEGE OF THE SEQUOIAS4071,COLLEGE OF THE SEQUOIAS,Visalia,Tulare,Adm,17,,,6,,8,,
COLLEGE OF THE SEQUOIAS4071,COLLEGE OF THE SEQUOIAS,Visalia,Tulare,Enr,5,,,,,,,
COLUMBIA COLLEGE4108,COLUMBIA COLLEGE,Sonora,Tuolumne,App,15,,,3,1,9,,
COLUMBIA COLLEGE4108,COLUMBIA COLLEGE,Sonora,Tuolumne,Adm,7,,,,,3,,
COLUMBIA COLLEGE4108,COLUMBIA COLLEGE,Sonora,Tuolumne,Enr,3,,,,,,,
COMPTON COLLEGE4078,COMPTON COLLEGE,Compton,Los Angeles,App,16,5,,9,2,,,
COMPTON COLLEGE4078,COMPTON COLLEGE,Compton,Los Angeles,Adm,6,,,4,,,,
COMPTON COLLEGE4078,COMPTON COLLEGE,Compton,Los Angeles,Enr,,,,,,,,
COPPER MOUNTAIN COLLEGE3889,COPPER MOUNTAIN COLLEGE,Joshua Tree,San Bernardino,App,10,2,1,2,,3,2,
COPPER MOUNTAIN COLLEGE3889,COPPER MOUNTAIN COLLEGE,Joshua Tree,San Bernardino,Adm,8,,,,,3,,
COPPER MOUNTAIN COLLEGE3889,COPPER MOUNTAIN COLLEGE,Joshua Tree,San Bernardino,Enr,3,,,,,,,
COSUMNES RIVER COLLEGE4121,COSUMNES RIVER COLLEGE,Sacramento,Sacramento,App,76,7,1,15,42,10,1,
COSUMNES RIVER COLLEGE4121,COSUMNES RIVER COLLEGE,Sacramento,Sacramento,Adm,51,4,,10,30,7,,
COSUMNES RIVER COLLEGE4121,COSUMNES RIVER COLLEGE,Sacramento,Sacramento,Enr,16,,,3,9,,,
CRAFTON HILLS COLLEGE4126,CRAFTON HILLS COLLEGE,Yucaipa,San Bernardino,App,38,1,2,16,6,12,1,
CRAFTON HILLS COLLEGE4126,CRAFTON HILLS COLLEGE,Yucaipa,San Bernardino,Adm,24,,,10,3,11,,
CRAFTON HILLS COLLEGE4126,CRAFTON HILLS COLLEGE,Yucaipa,San Bernardino,Enr,4,,,,,,,
CUESTA COLLEGE4101,CUESTA COLLEGE,San Luis Obispo,San Luis Obispo,App,118,4,1,28,9,72,,
CUESTA COLLEGE4101,CUESTA COLLEGE,San Luis Obispo,San Luis Obispo,Adm,59,3,,18,4,32,,
CUESTA COLLEGE4101,CUESTA COLLEGE,San Luis Obispo,San Luis Obispo,Enr,12,,,5,,5,,
CUYAMACA COLLEGE4252,CUYAMACA COLLEGE,El Cajon,San Diego,App,122,6,,40,7,61,,1
CUYAMACA COLLEGE4252,CUYAMACA COLLEGE,El Cajon,San Diego,Adm,72,4,,22,5,37,4,
CUYAMACA COLLEGE4252,CUYAMACA COLLEGE,El Cajon,San Diego,Enr,40,,,8,3,24,,
CYPRESS COLLEGE4104,CYPRESS COLLEGE,Cypress,Orange,App,136,10,,22,76,19,,8
CYPRESS COLLEGE4104,CYPRESS COLLEGE,Cypress,Orange,Adm,64,4,,8,38,9,,5
CYPRESS COLLEGE4104,CYPRESS COLLEGE,Cypress,Orange,Enr,14,,,,8,3,,
DE ANZA COLLEGE4286,DE ANZA COLLEGE,Cupertino,Santa Clara,App,1041,26,1,55,424,132,,374
DE ANZA COLLEGE4286,DE ANZA COLLEGE,Cupertino,Santa Clara,Adm,624,7,,23,245,79,,253
DE ANZA COLLEGE4286,DE ANZA COLLEGE,Cupertino,Santa Clara,Enr,190,,,,73,15,,95
DIABLO VALLEY COLLEGE4295,DIABLO VALLEY COLLEGE,Pleasant Hill,Contra Costa,App,739,29,2,81,196,145,,266
DIABLO VALLEY COLLEGE4295,DIABLO VALLEY COLLEGE,Pleasant Hill,Contra Costa,Adm,453,12,,47,107,82,,196
DIABLO VALLEY COLLEGE4295,DIABLO VALLEY COLLEGE,Pleasant Hill,Contra Costa,Enr,109,4,,5,18,13,,67
EAST LOS ANGELES COLLEGE4296,EAST LOS ANGELES COLLEGE,Monterey Park,Los Angeles,App,330,4,,118,97,2,9,100
EAST LOS ANGELES COLLEGE4296,EAST LOS ANGELES COLLEGE,Monterey Park,Los Angeles,Adm,187,,,58,59,,,66
EAST LOS ANGELES COLLEGE4296,EAST LOS ANGELES COLLEGE,Monterey Park,Los Angeles,Enr,60,,,6,21,,3,30
EL CAMINO COLLEGE4302,EL CAMINO COLLEGE,Torrance,Los Angeles,App,357,34,1,104,121,57,,32
EL CAMINO COLLEGE4302,EL CAMINO COLLEGE,Torrance,Los Angeles,Adm,186,19,,43,70,32,,17
EL CAMINO COLLEGE4302,EL CAMINO COLLEGE,Torrance,Los Angeles,Enr,46,3,,5,27,5,,6
EVERGREEN VALLEY COLLEGE4273,EVERGREEN VALLEY COLLEGE,San Jose,Santa Clara,App,60,1,,13,41,2,,2
EVERGREEN VALLEY COLLEGE4273,EVERGREEN VALLEY COLLEGE,San Jose,Santa Clara,Adm,28,,,6,20,,,
EVERGREEN VALLEY COLLEGE4273,EVERGREEN VALLEY COLLEGE,San Jose,Santa Clara,Enr,13,,,3,9,,,
FOLSOM LAKE COLLEGE4462,FOLSOM LAKE COLLEGE,Folsom,Sacramento,App,68,4,1,11,19,28,,1
FOLSOM LAKE COLLEGE4462,FOLSOM LAKE COLLEGE,Folsom,Sacramento,Adm,45,,,8,16,14,3,
FOLSOM LAKE COLLEGE4462,FOLSOM LAKE COLLEGE,Folsom,Sacramento,Enr,10,,,3,4,,,
FOOTHILL COLLEGE4315,FOOTHILL COLLEGE,Los Altos Hills,Santa Clara,App,459,6,3,47,141,89,,163
FOOTHILL COLLEGE4315,FOOTHILL COLLEGE,Los Altos Hills,Santa Clara,Adm,248,3,,22,68,41,,107
FOOTHILL COLLEGE4315,FOOTHILL COLLEGE,Los Altos Hills,Santa Clara,Enr,84,,,3,21,11,,47
FRESNO CITY COLLEGE4311,FRESNO CITY COLLEGE,Fresno,Fresno,App,43,6,,17,10,9,,
FRESNO CITY COLLEGE4311,FRESNO CITY COLLEGE,Fresno,Fresno,Adm,13,,,3,6,4,,
FRESNO CITY COLLEGE4311,FRESNO CITY COLLEGE,Fresno,Fresno,Enr,5,,,,3,,,
FULLERTON COLLEGE4314,FULLERTON COLLEGE,Fullerton,Orange,App,223,7,,69,94,37,,9
FULLERTON COLLEGE4314,FULLERTON COLLEGE,Fullerton,Orange,Adm,115,5,,36,48,15,4,7
FULLERTON COLLEGE4314,FULLERTON COLLEGE,Fullerton,Orange,Enr,28,,,9,11,,,3
GAVILAN COLLEGE4678,GAVILAN COLLEGE,Gilroy,Santa Clara,App,22,1,,13,,7,1,
GAVILAN COLLEGE4678,GAVILAN COLLEGE,Gilroy,Santa Clara,Adm,12,,,7,,4,,
GAVILAN COLLEGE4678,GAVILAN COLLEGE,Gilroy,Santa Clara,Enr,,,,,,,,
GLENDALE COMMUNITY COLLEGE4327,GLENDALE COMMUNITY COLLEGE,Glendale,Los Angeles,App,393,3,,45,33,275,,19
GLENDALE COMMUNITY COLLEGE4327,GLENDALE COMMUNITY COLLEGE,Glendale,Los Angeles,Adm,231,3,,20,20,165,12,11
GLENDALE COMMUNITY COLLEGE4327,GLENDALE COMMUNITY COLLEGE,Glendale,Los Angeles,Enr,38,,,3,4,24,,5
GOLDEN WEST COLLEGE4339,GOLDEN WEST COLLEGE,Huntington Beach,Orange,App,74,1,,12,45,9,,7
