Broad discipline,College/School,Major name,Admits,Applicants,Enrolls,Admit GPA range,Admit rate,Enroll GPA range,Yield rate
Agriculture & Natural Resources,Not applicable,Environmental systems - earth sciences,35,61,9,3.48 - 3.84,0.573770492,3.56 - 3.80,0.257142857
Agriculture & Natural Resources,Not applicable,"Environmental systems - ecology, behavior, evolution",43,61,12,3.48 - 3.82,0.704918033,3.56 - 3.84,0.279069767
Agriculture & Natural Resources,Not applicable,Environmental systems - environmental chemistry,5,6,4,3.16 - 3.41,0.833333333,masked,0.8
Agriculture & Natural Resources,Not applicable,Environmental systems - environmental policy,27,60,6,3.35 - 3.90,0.45,3.05 - 3.63,0.222222222
Architecture & Environ Design,Not applicable,Real estate and development,93,137,32,3.28 - 3.78,0.678832117,3.21 - 3.63,0.344086022
"Area, Ethn, Cultur & Gender Stu",Not applicable,Chinese studies,30,47,5,3.38 - 3.99,0.638297872,3.24 - 3.38,0.166666667
"Area, Ethn, Cultur & Gender Stu",Not applicable,Critical gender studies,45,60,5,3.49 - 3.90,0.75,3.05 - 3.21,0.111111111
"Area, Ethn, Cultur & Gender Stu",Not applicable,Ethnic studies,26,47,7,3.25 - 3.81,0.553191489,3.10 - 3.58,0.269230769
"Area, Ethn, Cultur & Gender Stu",Not applicable,Japanese studies,40,54,5,3.32 - 3.86,0.740740741,2.88 - 4.00,0.125
Biological Sciences,Not applicable,Biology,437,902,153,3.44 - 3.87,0.484478936,3.27 - 3.82,0.350114416
Biological Sciences,Not applicable,Biology - bioinformatics,17,43,6,3.55 - 3.87,0.395348837,3.52 - 3.85,0.352941176
Biological Sciences,Not applicable,"Ecology, behavior & evolution",30,93,12,3.37 - 3.74,0.322580645,3.24 - 3.68,0.4
Biological Sciences,Not applicable,Human biology,313,595,139,3.48 - 3.89,0.52605042,3.37 - 3.81,0.444089457
Biological Sciences,Not applicable,Marine biology,49,135,22,3.30 - 3.76,0.362962963,3.15 - 3.59,0.448979592
Biological Sciences,Not applicable,Microbiology,69,124,29,3.44 - 3.81,0.556451613,3.28 - 3.62,0.420289855
Biological Sciences,Not applicable,Molecular & cell biology,190,299,61,3.51 - 3.91,0.635451505,3.40 - 3.75,0.321052632
Biological Sciences,Not applicable,Neurobiology,127,224,57,3.46 - 3.83,0.566964286,3.40 - 3.75,0.448818898
Business & Management,Not applicable,Management science,101,193,41,3.55 - 3.92,0.523316062,3.49 - 3.85,0.405940594
"Communication, Journalism & Rel",Not applicable,Communication arts,649,1163,154,3.47 - 3.90,0.558039553,3.36 - 3.86,0.237288136
Computer & Information Sciences,Not applicable,Computer science,317,1996,146,3.92 - 4.00,0.158817635,3.91 - 4.00,0.460567823
Computer & Information Sciences,Not applicable,Data science,107,251,29,3.77 - 4.00,0.426294821,3.65 - 3.90,0.271028037
Education,Not applicable,Education sciences,63,132,12,3.34 - 3.84,0.477272727,3.20 - 3.84,0.19047619
Engineering,Not applicable,Aerospace engineering,88,228,24,3.55 - 3.85,0.385964912,3.45 - 3.79,0.272727273
Engineering,Not applicable,Bioengineering,29,83,10,3.65 - 3.94,0.34939759,3.59 - 3.75,0.344827586
Engineering,Not applicable,Bioengineering (biotech),25,58,15,3.54 - 3.83,0.431034483,3.48 - 3.83,0.6
Engineering,Not applicable,Chemical engineering,88,153,24,3.45 - 3.87,0.575163399,3.36 - 3.67,0.272727273
Engineering,Not applicable,Computer engineering,83,143,43,3.50 - 3.86,0.58041958,3.47 - 3.85,0.518072289
Engineering,Not applicable,Electrical engineering - bs,156,321,38,3.52 - 3.92,0.485981308,3.43 - 3.77,0.243589744
Engineering,Not applicable,Mechanical engineering,125,472,27,3.70 - 3.95,0.264830508,3.49 - 3.86,0.216
Engineering,Not applicable,Mechanical engineering with a spec in controls and robotics,46,71,15,3.49 - 3.87,0.647887324,3.47 - 3.70,0.326086957
Engineering,Not applicable,Mechanical engineering with a spec in fluid mechanics and thermal systems,8,10,4,3.28 - 3.71,0.8,masked,0.5
Engineering,Not applicable,Mechanical engineering with a spec in materials science and engineering,13,28,3,3.48 - 3.84,0.464285714,masked,0.230769231
Engineering,Not applicable,Mechanical engineering with a spec in mechanics of materials,11,15,4,3.33 - 3.63,0.733333333,masked,0.363636364
Engineering,Not applicable,Mechanical engineering with a spec in renewable energy and environmental flows,38,72,11,3.46 - 3.79,0.527777778,3.38 - 3.69,0.289473684
Engineering,Not applicable,Nanoengineering,14,20,6,3.23 - 3.89,0.7,2.94 - 3.76,0.428571429
Engineering,Not applicable,Structural engineering,89,174,28,3.39 - 3.79,0.511494253,3.31 - 3.68,0.314606742
Family & Consumer Sci/Human Sci,Not applicable,Human developmental sciences,52,69,17,3.45 - 3.89,0.753623188,3.39 - 3.69,0.326923077
Fine & Applied Arts,Not applicable,Art history/criticism,42,62,9,3.36 - 3.89,0.677419355,3.18 - 3.77,0.214285714
Fine & Applied Arts,Not applicable,Drama,124,187,37,3.41 - 3.84,0.663101604,3.21 - 3.80,0.298387097
Fine & Applied Arts,Not applicable,Music,33,49,6,3.35 - 3.66,0.673469388,3.37 - 3.63,0.181818182
Fine & Applied Arts,Not applicable,Speculative design,27,38,8,3.56 - 3.93,0.710526316,3.62 - 3.73,0.296296296
Fine & Applied Arts,Not applicable,Studio art,86,139,20,3.37 - 3.85,0.618705036,3.40 - 3.82,0.23255814
Fine & Applied Arts,Not applicable,Visual arts - media,128,198,40,3.31 - 3.85,0.646464646,3.41 - 3.82,0.3125
Foreign Languages & Lliterature,Not applicable,Linguistics,72,95,15,3.43 - 3.90,0.757894737,3.11 - 3.71,0.208333333
Foreign Languages & Lliterature,Not applicable,Linguistics - languages studies,18,45,7,3.32 - 3.77,0.4,3.25 - 3.83,0.388888889
Foreign Languages & Lliterature,Not applicable,Linguistics (specialization in speech and language sciences),29,38,5,3.52 - 3.90,0.763157895,3.47 - 3.78,0.172413793
Foreign Languages & Lliterature,Not applicable,"Literature, spanish",15,25,3,3.26 - 3.71,0.6,masked,0.2
Interdisciplinary Studies,Not applicable,Cognitive and behavioral neuroscience,57,110,34,3.50 - 3.90,0.518181818,3.53 - 3.90,0.596491228
Interdisciplinary Studies,Not applicable,Cognitive science,232,345,109,3.49 - 3.90,0.672463768,3.34 - 3.81,0.469827586
Interdisciplinary Studies,Not applicable,Interdisciplinary computer & the arts,12,19,5,3.30 - 3.73,0.631578947,3.42 - 3.84,0.416666667
Interdisciplinary Studies,Not applicable,International studies - anthropology,17,20,4,3.54 - 4.00,0.85,masked,0.235294118
Interdisciplinary Studies,Not applicable,International studies - economics,151,228,60,3.40 - 3.83,0.662280702,3.34 - 3.78,0.397350993
Interdisciplinary Studies,Not applicable,International studies - history,19,36,7,3.36 - 3.80,0.527777778,3.22 - 3.63,0.368421053
Interdisciplinary Studies,Not applicable,International studies - international business,474,763,189,3.49 - 3.91,0.621231979,3.40 - 3.81,0.398734177
