Calculation1,School,City,County,Count,All,African American,American Indian,Hispanic/ Latino,Asian,White,Domestic unknown,Inter- national
ALLAN HANCOCK COLLEGE4002,ALLAN HANCOCK COLLEGE,Santa Maria,Santa Barbara,App,203,9,1,127,14,45,,5
ALLAN HANCOCK COLLEGE4002,ALLAN HANCOCK COLLEGE,Santa Maria,Santa Barbara,Adm,149,8,,92,10,33,,3
ALLAN HANCOCK COLLEGE4002,ALLAN HANCOCK COLLEGE,Santa Maria,Santa Barbara,Enr,78,,,47,7,20,,
AMERICAN RIVER COLLEGE4004,AMERICAN RIVER COLLEGE,Sacramento,Sacramento,App,410,36,2,69,112,162,,10
AMERICAN RIVER COLLEGE4004,AMERICAN RIVER COLLEGE,Sacramento,Sacramento,Adm,318,24,,53,84,132,,9
AMERICAN RIVER COLLEGE4004,AMERICAN RIVER COLLEGE,Sacramento,Sacramento,Enr,257,13,,41,74,109,,8
ANTELOPE VALLEY COLLEGE4005,ANTELOPE VALLEY COLLEGE,Lancaster,Los Angeles,App,179,23,3,81,21,40,,1
ANTELOPE VALLEY COLLEGE4005,ANTELOPE VALLEY COLLEGE,Lancaster,Los Angeles,Adm,135,15,,62,18,29,,
ANTELOPE VALLEY COLLEGE4005,ANTELOPE VALLEY COLLEGE,Lancaster,Los Angeles,Enr,95,10,,42,15,20,6,
BAKERSFIELD COLLEGE4015,BAKERSFIELD COLLEGE,Bakersfield,Kern,App,156,13,,95,20,23,,1
BAKERSFIELD COLLEGE4015,BAKERSFIELD COLLEGE,Bakersfield,Kern,Adm,111,8,,68,16,17,,
BAKERSFIELD COLLEGE4015,BAKERSFIELD COLLEGE,Bakersfield,Kern,Enr,70,5,,43,11,11,,
BARSTOW COLLEGE4020,BARSTOW COLLEGE,Barstow,San Bernardino,App,43,10,,19,4,7,,2
BARSTOW COLLEGE4020,BARSTOW COLLEGE,Barstow,San Bernardino,Adm,28,6,,11,,6,,
BARSTOW COLLEGE4020,BARSTOW COLLEGE,Barstow,San Bernardino,Enr,17,3,,8,,,,
BERKELEY CITY COLLEGE7711,BERKELEY CITY COLLEGE,Berkeley,Alameda,App,530,74,3,99,119,101,,124
BERKELEY CITY COLLEGE7711,BERKELEY CITY COLLEGE,Berkeley,Alameda,Adm,426,57,3,84,94,77,8,103
BERKELEY CITY COLLEGE7711,BERKELEY CITY COLLEGE,Berkeley,Alameda,Enr,322,37,3,61,75,59,,79
BUTTE COLLEGE4226,BUTTE COLLEGE,Oroville,Butte,App,81,1,,19,11,38,,6
BUTTE COLLEGE4226,BUTTE COLLEGE,Oroville,Butte,Adm,66,,,16,11,29,,6
BUTTE COLLEGE4226,BUTTE COLLEGE,Oroville,Butte,Enr,47,,,11,6,21,,6
CABRILLO COLLEGE4084,CABRILLO COLLEGE,Aptos,Santa Cruz,App,439,6,4,138,43,216,,6
CABRILLO COLLEGE4084,CABRILLO COLLEGE,Aptos,Santa Cruz,Adm,337,4,4,109,31,164,,4
CABRILLO COLLEGE4084,CABRILLO COLLEGE,Aptos,Santa Cruz,Enr,235,3,3,81,18,115,11,4
CANADA COLLEGE4109,CANADA COLLEGE,Redwood City,San Mateo,App,134,4,1,52,21,34,6,16
CANADA COLLEGE4109,CANADA COLLEGE,Redwood City,San Mateo,Adm,111,3,,42,18,29,,14
CANADA COLLEGE4109,CANADA COLLEGE,Redwood City,San Mateo,Enr,83,,,34,11,24,,9
CERRITOS COLLEGE4083,CERRITOS COLLEGE,Norwalk,Los Angeles,App,297,19,3,155,80,19,,10
CERRITOS COLLEGE4083,CERRITOS COLLEGE,Norwalk,Los Angeles,Adm,209,8,,106,65,15,,5
CERRITOS COLLEGE4083,CERRITOS COLLEGE,Norwalk,Los Angeles,Enr,135,3,,65,49,12,,
CERRO COSO COMMUNITY COLLEGE4027,CERRO COSO COMMUNITY COLLEGE,Ridgecrest,Kern,App,27,1,1,4,5,14,2,
CERRO COSO COMMUNITY COLLEGE4027,CERRO COSO COMMUNITY COLLEGE,Ridgecrest,Kern,Adm,17,,,,3,10,,
CERRO COSO COMMUNITY COLLEGE4027,CERRO COSO COMMUNITY COLLEGE,Ridgecrest,Kern,Enr,14,,,,,10,,
CHABOT COLLEGE4725,CHABOT COLLEGE,Hayward,Alameda,App,352,28,,96,169,44,9,6
CHABOT COLLEGE4725,CHABOT COLLEGE,Hayward,Alameda,Adm,257,17,,67,131,30,,5
CHABOT COLLEGE4725,CHABOT COLLEGE,Hayward,Alameda,Enr,199,11,,52,106,20,6,4
CHAFFEY COLLEGE4046,CHAFFEY COLLEGE,Rancho Cucamonga,San Bernardino,App,412,39,4,200,74,65,,16
CHAFFEY COLLEGE4046,CHAFFEY COLLEGE,Rancho Cucamonga,San Bernardino,Adm,284,29,3,131,58,42,8,13
